Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,LocalFeatureFlag\LocalFeatureFlag.csproj,File,LocalFeatureFlag\LocalFeatureFlag.csproj,,,Microsoft.EntityFrameworkCore 8.0.8,,,,,"Microsoft.EntityFrameworkCore, 8.0.8  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,LocalFeatureFlag\LocalFeatureFlag.csproj,File,LocalFeatureFlag\LocalFeatureFlag.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 8.0.8,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 8.0.8  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,LocalFeatureFlag\LocalFeatureFlag.csproj,File,LocalFeatureFlag\LocalFeatureFlag.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,LocalFeatureFlag\LocalFeatureFlag.csproj,File,LocalFeatureFlag\Program.cs,22,16,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Home/Error"");"
